Time [s],Packet ID,MOSI,MISO
4.24267791666667,119,A (0x41),A (0x41)
4.24298041666667,120,C (0x43),C (0x43)
4.24328291666667,121,E (0x45),E (0x45)
4.24358545833333,122,G (0x47),G (0x47)
4.24388795833333,123,I (0x49),I (0x49)
4.24419045833333,124,K (0x4B),K (0x4B)
4.24449295833333,125,M (0x4D),M (0x4D)
4.24479545833333,126,O (0x4F),O (0x4F)
4.24509795833333,127,Q (0x51),Q (0x51)
4.24540045833333,128,S (0x53),S (0x53)
4.24570295833333,129,U (0x55),U (0x55)
4.24600545833333,130,W (0x57),W (0x57)
4.24630795833333,131,Y (0x59),Y (0x59)
4.2466105,132,[ (0x5B),[ (0x5B)
4.246913,133,] (0x5D),] (0x5D)
4.2472155,134,_ (0x5F),_ (0x5F)
4.247518,135,a (0x61),a (0x61)
4.2478205,136,c (0x63),c (0x63)
4.248123,137,e (0x65),e (0x65)
4.2484255,138,g (0x67),g (0x67)
4.248728,139,i (0x69),i (0x69)
4.2490305,140,k (0x6B),k (0x6B)
4.24933304166667,141,m (0x6D),m (0x6D)
4.24963554166667,142,o (0x6F),o (0x6F)
4.24993804166667,143,q (0x71),q (0x71)
4.25024054166667,144,s (0x73),s (0x73)
4.25054304166667,145,u (0x75),u (0x75)
4.25084554166667,146,w (0x77),w (0x77)
4.25114804166667,147,y (0x79),y (0x79)
4.25145054166667,148,{ (0x7B),{ (0x7B)
4.25175295833333,149,A (0x41),A (0x41)
4.25205545833333,150,C (0x43),C (0x43)
4.25235795833333,151,E (0x45),E (0x45)
4.25266045833333,152,G (0x47),G (0x47)
4.25296295833333,153,I (0x49),I (0x49)
4.25326545833333,154,K (0x4B),K (0x4B)
4.25356795833333,155,M (0x4D),M (0x4D)
4.2538705,156,O (0x4F),O (0x4F)
4.254173,157,Q (0x51),Q (0x51)
4.2544755,158,S (0x53),S (0x53)
4.254778,159,U (0x55),U (0x55)
4.2550805,160,W (0x57),W (0x57)
4.255383,161,Y (0x59),Y (0x59)
4.2556855,162,[ (0x5B),[ (0x5B)
4.255988,163,] (0x5D),] (0x5D)
4.2562905,164,_ (0x5F),_ (0x5F)
4.25659304166667,165,a (0x61),a (0x61)
